base_id,ep_idx,g,qpos_or_qi,answer,pred,correct,category
0,0,012,1,Raz,Raz,1,correct
0,1,021,1,Poz,Poz,1,correct
0,2,102,1,Jad,Jad,1,correct
0,3,120,1,Poz,Poz,1,correct
0,4,201,1,Jad,Jad,1,correct
0,5,210,1,Raz,Raz,1,correct
1,6,012,1,Poz,Poz,1,correct
1,7,021,1,Poz,Poz,1,correct
1,8,102,1,Fon,Fon,1,correct
1,9,120,1,Fon,Fon,1,correct
1,10,201,1,Zam,Zam,1,correct
1,11,210,1,Zam,Zam,1,correct
2,12,012,2,Jad,Jad,1,correct
2,13,021,2,Bik,Bik,1,correct
2,14,102,2,Zum,Zum,1,correct
2,15,120,2,Bik,Bik,1,correct
2,16,201,2,Zum,Zum,1,correct
2,17,210,2,Jad,Jad,1,correct
3,18,012,2,Fon,Fon,1,correct
3,19,021,2,Zam,Zam,1,correct
3,20,102,2,Fon,Fon,1,correct
3,21,120,2,Jal,Jal,1,correct
3,22,201,2,Zam,Zam,1,correct
3,23,210,2,Jal,Jal,1,correct
4,24,012,2,Jad,Jad,1,correct
4,25,021,2,Jad,Jad,1,correct
4,26,102,2,Vij,Vij,1,correct
4,27,120,2,Vij,Vij,1,correct
4,28,201,2,Raz,Raz,1,correct
4,29,210,2,Raz,Raz,1,correct
5,30,012,2,Raz,Raz,1,correct
5,31,021,2,Zum,Zum,1,correct
5,32,102,2,Bij,Bij,1,correct
5,33,120,2,Zum,Zum,1,correct
5,34,201,2,Bij,Bij,1,correct
5,35,210,2,Raz,Raz,1,correct
6,36,012,2,Raz,Raz,1,correct
6,37,021,2,Bij,Bij,1,correct
6,38,102,2,Poz,Poz,1,correct
6,39,120,2,Bij,Bij,1,correct
6,40,201,2,Poz,Poz,1,correct
6,41,210,2,Raz,Raz,1,correct
7,42,012,1,Vij,Vij,1,correct
7,43,021,1,Raz,Raz,1,correct
7,44,102,1,Vij,Vij,1,correct
7,45,120,1,Zum,Zum,1,correct
7,46,201,1,Raz,Raz,1,correct
